Name,Chamber,Party,Avg. Net Worth
James E. Clyburn (D-SC),H,D,468511
Luke Messer (R-Ind),H,R,468017
Ileana Ros-Lehtinen (R-Fla),H,R,466502
Jim McDermott (D-Wash),H,D,461026
Bill Johnson (R-Ohio),H,R,459522
Charlie Dent (R-Pa),H,R,458525
Jared Huffman (D-Calif),H,D,457010
Kevin Brady (R-Texas),H,R,453513
Mac Thornberry (R-Texas),H,R,447503
Ted Poe (R-Texas),H,R,446006
Gus Bilirakis (R-Fla),H,R,445518
Michael G. Fitzpatrick (R-Pa),H,R,436518
Michelle Lujan Grisham (D-NM),H,D,435001
Lynn Jenkins (R-Kan),H,R,430507
Joe Wilson (R-SC),H,R,428000
Kevin Cramer (R-ND),H,R,419511
Chris Stewart (R-Utah),H,R,415501
Tulsi Gabbard (D-Hawaii),H,D,411006
Ron Kind (D-Wis),H,D,404004
Joe Garcia (D-Fla),H,D,397504
Ed Royce (R-Calif),H,R,390509
John Kline (R-Minn),H,R,390002
Barbara Lee (D-Calif),H,D,385007
Jerry McNerney (D-Calif),H,D,384002
Dave Reichert (R-Wash),H,R,380003
John Carter (R-Texas),H,R,375000
Bobby L. Rush (D-Ill),H,D,375000
Marcy Kaptur (D-Ohio),H,D,360508
John J. Duncan Jr (R-Tenn),H,R,358009
Adam Smith (D-Wash),H,D,354505
Steven A. King (R-Iowa),H,R,353007
Mike Rogers (R-Mich),H,R,351007
Karen Bass (D-Calif),H,D,348003
Andy Barr (R-Ky),H,R,346012
Lucille Roybal-Allard (D-Calif),H,D,343005
Pete King (R-NY),H,R,325001
Mike Coffman (R-Colo),H,R,324003
Rick Larsen (D-Wash),H,D,319008
Walter B. Jones Jr (R-NC),H,R,313007
Michael Grimm (R-NY),H,R,309999
Joe Heck (R-Nev),H,R,305004
Tim Huelskamp (R-Kan),H,R,304005
Paul Broun (R-Ga),H,R,303507
Doug Collins (R-Ga),H,R,301001
Tony Cardenas (D-Calif),H,D,298507
Mike Pompeo (R-Kan),H,R,296011
Joseph Crowley (D-NY),H,D,292513
Lynn A. Westmoreland (R-Ga),H,R,291001
Tom Cotton (R-Ark),H,R,282501
Scott Garrett (R-NJ),H,R,273005
Jackie Walorski (R-Ind),H,R,268006
Raul Ruiz (D-Calif),H,D,263006
Patrick Meehan (R-Pa),H,R,257511
Matt Salmon (R-Ariz),H,R,257502
Hakeem Jeffries (D-NY),H,D,256506
Grace Napolitano (D-Calif),H,D,256502
Danny K. Davis (D-Ill),H,D,253007
Chaka Fattah (D-Pa),H,D,250001
Jeff Fortenberry (R-Neb),H,R,249502
Jim Jordan (R-Ohio),H,R,248004
Rodney Davis (R-Ill),H,R,245010
Adrian Smith (R-Neb),H,R,236506
Jan Schakowsky (D-Ill),H,D,236012
James Lankford (R-Okla),H,R,235009
Linda Sanchez (D-Calif),H,D,233009
Morgan Griffith (R-Va),H,R,232500
Marc Veasey (D-Texas),H,D,229009
John Sarbanes (D-Md),H,D,219004
Glenn Thompson (R-Pa),H,R,217500
"Donald M. Payne, Jr (D-NJ)",H,D,216002
Rob Woodall (R-Ga),H,R,215003
Tim Walberg (R-Mich),H,R,211009
Ben R. Lujan (D-NM),H,D,205502
Trey Gowdy (R-SC),H,R,200000
Raul M. Grijalva (D-Ariz),H,D,199506
Terri A. Sewell (D-Ala),H,D,191507
Adam Kinzinger (R-Ill),H,R,188503
Kevin McCarthy (R-Calif),H,R,187004
Gloria McLeod (D-Calif),H,D,183001
Devin Nunes (R-Calif),H,R,183001
John B. Larson (D-Conn),H,D,181521
Albio Sires (D-NJ),H,D,180502
Dan Kildee (D-Mich),H,D,180004
Chris Gibson (R-NY),H,R,175000
Richard Hudson (R-NC),H,R,170503
Lee Terry (R-Neb),H,R,168507
Richard E. Neal (D-Mass),H,D,166505
Mark Amodei (R-Nev),H,R,166002
Mark A Takano (D-Calif),H,D,158501
Jim Gerlach (R-Pa),H,R,154003
John Culberson (R-Texas),H,R,150501
Dana Rohrabacher (R-Calif),H,R,150500
Joaquin Castro (D-Texas),H,D,150500
Steven Horsford (D-Nev),H,D,144507
Tom Marino (R-Pa),H,R,141446
Robin Kelly (D-Ill),H,D,140992
Michael R. Turner (R-Ohio),H,R,139503
Derek Kilmer (D-Wash),H,D,138637
Cory Gardner (R-Colo),H,R,132007
Steve Womack (R-Ark),H,R,129503
Robert Hurt (R-Va),H,R,123003
William L. Clay Jr (D-Mo),H,D,115003
Chris Van Hollen (D-Md),H,D,114003
Betty McCollum (D-Minn),H,D,112505
Buck Mckeon (R-Calif),H,R,111502
Mike McIntyre (D-NC),H,D,106503
Yvette D. Clarke (D-NY),H,D,105003
Lois Capps (D-Calif),H,D,98006
Timothy J. Walz (D-Minn),H,D,96503
Douglas L. Lamborn (R-Colo),H,R,88504
Kristi Noem (R-SD),H,R,81004
Joe Barton (R-Texas),H,R,78501
John Lewis (D-Ga),H,D,72004
Gregg Harper (R-Miss),H,R,70501
Todd Young (R-Ind),H,R,66501
Chris Smith (R-NJ),H,R,64273
Sanford Bishop (D-Ga),H,D,56503
Eliot L. Engel (D-NY),H,D,56502
Sam Johnson (R-Texas),H,R,48501
Eric Swalwell (D-Calif),H,D,40501
Rob Bishop (R-Utah),H,R,40501
Steny H. Hoyer (D-Md),H,D,33501
Randy Hultgren (R-Ill),H,R,32500
Jose E. Serrano (D-NY),H,D,32500
Brian M. Higgins (D-NY),H,D,32004
Donna Edwards (D-Md),H,D,30635
Cedric Richmond (D-La),H,D,27001
Debbie Wasserman Schultz (D-Fla),H,D,21005
Tim Ryan (D-Ohio),H,D,16501
